iter	Passed	Remaining
0	1	190
1	3	182
2	5	174
3	6	156
4	7	150
5	9	149
6	11	147
7	12	147
8	14	144
9	15	143
10	17	141
11	19	142
12	20	139
13	22	136
14	23	135
15	25	134
16	27	132
17	28	130
18	30	128
19	31	126
20	33	124
21	34	123
22	36	121
23	37	119
24	39	118
25	40	116
26	42	114
27	43	112
28	45	110
29	46	109
30	48	107
31	49	105
32	51	103
33	52	101
34	53	99
35	55	97
36	56	95
37	57	93
38	59	92
39	60	90
40	61	88
41	62	85
42	63	84
43	64	82
44	66	80
45	67	79
46	68	77
47	70	76
48	71	74
49	72	72
50	74	71
51	75	70
52	77	68
53	78	66
54	79	65
55	80	63
56	82	62
57	83	60
58	84	58
59	86	57
60	87	56
61	89	54
62	90	53
63	91	51
64	93	50
65	94	48
66	95	47
67	97	45
68	98	44
69	99	42
70	101	41
71	102	39
72	103	38
73	105	36
74	106	35
75	107	34
76	109	32
77	110	31
78	111	29
79	113	28
80	114	26
81	115	25
82	117	23
83	118	22
84	119	21
85	121	19
86	122	18
87	124	16
88	125	15
89	126	14
90	128	12
91	129	11
92	130	9
93	132	8
94	133	7
95	134	5
96	135	4
97	137	2
98	138	1
99	139	0
